 
  Energy       1     7.5171691142E-02 eV  D
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7 D   0.00456303     8.91636418
    4   ->     8 D   0.00348434    16.27630782
    4   ->     9 D   0.00283757    18.65788308
    6   ->     9 U   0.00193106    14.58103049
    2   ->     9 D   0.00167023    22.98969180
    4   ->     9 U   0.00153554    18.69399496
    4   ->     8 U   0.00136955    16.19692745
    2   ->     9 U   0.00083056    23.08589504
    2   ->     8 D   0.00077602    20.60811654
    4   ->    10 D   0.00069988    22.21748572
    3   ->     9 D   0.00069879    20.34711704
    6   ->    10 U   0.00058204    18.35372880
    3   ->     9 U   0.00054222    20.06437024
    2   ->    10 D   0.00040779    26.54929444
    2   ->     8 U   0.00037198    20.58882754
    7   ->     9 U   0.00036566    13.75053782
    4   ->    10 U   0.00035524    22.46669327
    3   ->     8 D   0.00030310    17.96554179
    6   ->     9 D   0.00024049    14.12597735
    1   ->     7 D   0.00023341    14.98311966
    3   ->     8 U   0.00021673    17.56730274
    4   ->     7 D   0.00021310     4.58455546
    2   ->    12 U   0.00020013    33.91405790
    2   ->    12 D   0.00019023    34.01233561
    6   ->    10 D   0.00016797    17.68557999
    4   ->    12 D   0.00015275    29.68052689
    1   ->    12 U   0.00014922    39.76265742
    1   ->     9 D   0.00014835    29.05644728
    4   ->    11 D   0.00012513    23.80660049
    5   ->     9 D   0.00012454    18.17343230
    6   ->    12 U   0.00011277    25.40919335
    1   ->     8 D   0.00009550    26.67487202
    2   ->    10 U   0.00008794    26.85859336
    6   ->    12 D   0.00006890    25.14862116
    1   ->    11 D   0.00005433    34.20516469
    7   ->    10 U   0.00004687    17.52323614
    6   ->    11 U   0.00004242    20.07238771
    1   ->     8 U   0.00004038    26.43742705
    1   ->    11 U   0.00003801    34.42585177
    3   ->    10 U   0.00003472    23.83706856
    1   ->    10 D   0.00003165    32.61604992
    5   ->    12 U   0.00002875    29.03896655
    3   ->    11 D   0.00002845    25.49583446
    1   ->     9 U   0.00002792    28.93449456
    4   ->    11 U   0.00002278    24.18535217
    3   ->    12 D   0.00001909    31.36976085
    4   ->    12 U   0.00001609    29.52215782
    1   ->    10 U   0.00001556    32.70719287
    1   ->    12 D   0.00001516    40.07909109
    7   ->    12 U   0.00001463    24.57870068
    5   ->    12 D   0.00001314    29.19607611
    3   ->     7 D   0.00001028     6.27378942
    2   ->    11 U   0.00000841    28.57725226
    5   ->    10 U   0.00000617    21.98350200
    5   ->     7 D   0.00000580     4.10010468
    3   ->    12 U   0.00000381    30.89253310
    5   ->    11 D   0.00000233    23.32214971
    5   ->     9 U   0.00000069    18.21080369
    3   ->    11 U   0.00000057    25.55572746
    2   ->    11 D   0.00000028    28.13840922
    5   ->    11 U   0.00000018    23.70216091
    5   ->    10 D   0.00000016    21.73303494
    3   ->    10 D   0.00000011    23.90671968
    6   ->    11 D   0.00000001    19.27469476
    7   ->    11 U   0.00000000    19.24189504
    6   ->     7 D   0.00000000     0.05264973
 
  Energy       7     1.1948934761E+01 eV  U
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8 U   0.79512301    12.08396299
    6   ->     8 D   0.51079881    11.74440209
    7   ->     8 U   0.32654442    11.25347032
    5   ->     8 U   0.01209346    15.71373619
    6   ->     9 U   0.00753316    14.58103049
    6   ->     9 D   0.00467006    14.12597735
    4   ->     8 U   0.00123025    16.19692745
    4   ->     8 D   0.00118154    16.27630782
    2   ->     9 U   0.00099884    23.08589504
    5   ->     9 D   0.00088518    18.17343230
    4   ->     9 U   0.00087571    18.69399496
    4   ->    12 U   0.00065083    29.52215782
    4   ->    12 D   0.00064762    29.68052689
    2   ->     8 U   0.00062280    20.58882754
    3   ->     7 D   0.00051763     6.27378942
    2   ->     9 D   0.00036554    22.98969180
    1   ->    12 D   0.00033487    40.07909109
    3   ->     9 U   0.00031857    20.06437024
    3   ->     8 U   0.00028337    17.56730274
    1   ->     9 U   0.00027010    28.93449456
    2   ->    10 U   0.00024353    26.85859336
    3   ->    10 D   0.00023848    23.90671968
    6   ->    10 D   0.00019365    17.68557999
    2   ->     8 D   0.00017940    20.60811654
    7   ->     9 U   0.00017497    13.75053782
    1   ->     9 D   0.00016175    29.05644728
    2   ->    10 D   0.00014119    26.54929444
    6   ->    10 U   0.00013408    18.35372880
    4   ->    11 D   0.00012346    23.80660049
    1   ->     8 U   0.00011488    26.43742705
    3   ->     9 D   0.00011292    20.34711704
    1   ->    12 U   0.00011208    39.76265742
    5   ->    10 D   0.00010766    21.73303494
    4   ->    11 U   0.00010403    24.18535217
    5   ->     7 D   0.00010094     4.10010468
    3   ->    11 D   0.00009881    25.49583446
    5   ->    12 D   0.00009733    29.19607611
    2   ->     7 D   0.00008963     8.91636418
    4   ->    10 U   0.00008815    22.46669327
    3   ->    11 U   0.00007653    25.55572746
    5   ->     9 U   0.00006474    18.21080369
    7   ->    12 U   0.00006343    24.57870068
    2   ->    12 D   0.00006327    34.01233561
    2   ->    11 D   0.00006188    28.13840922
    4   ->     9 D   0.00005993    18.65788308
    7   ->    10 U   0.00005850    17.52323614
    3   ->    12 U   0.00005370    30.89253310
    3   ->     8 D   0.00004448    17.96554179
    6   ->    11 D   0.00003508    19.27469476
    6   ->    12 U   0.00002899    25.40919335
    5   ->    10 U   0.00002744    21.98350200
    3   ->    10 U   0.00002722    23.83706856
    1   ->    10 U   0.00002566    32.70719287
    1   ->     7 D   0.00002539    14.98311966
    5   ->     8 D   0.00002173    15.79185704
    3   ->    12 D   0.00001719    31.36976085
    5   ->    11 D   0.00001316    23.32214971
    5   ->    12 U   0.00000826    29.03896655
    1   ->    10 D   0.00000814    32.61604992
    1   ->    11 D   0.00000613    34.20516469
    2   ->    12 U   0.00000486    33.91405790
    2   ->    11 U   0.00000438    28.57725226
    6   ->    12 D   0.00000393    25.14862116
    4   ->     7 D   0.00000315     4.58455546
    6   ->    11 U   0.00000219    20.07238771
    5   ->    11 U   0.00000197    23.70216091
    1   ->    11 U   0.00000190    34.42585177
    7   ->    11 U   0.00000070    19.24189504
    1   ->     8 D   0.00000044    26.67487202
    4   ->    10 D   0.00000000    22.21748572
    6   ->     7 D   0.00000000     0.05264973
 
  Energy       8     1.2206350296E+01 eV  U
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8 U   0.81928336    12.08396299
    6   ->     8 D   0.54858325    11.74440209
    7   ->     8 U   0.16584952    11.25347032
    5   ->     8 U   0.01194068    15.71373619
    6   ->     9 U   0.00839028    14.58103049
    6   ->     9 D   0.00829978    14.12597735
    4   ->     8 D   0.00480109    16.27630782
    5   ->     8 D   0.00251904    15.79185704
    5   ->     9 D   0.00225223    18.17343230
    2   ->     8 D   0.00181454    20.60811654
    4   ->     8 U   0.00110420    16.19692745
    2   ->     9 U   0.00100692    23.08589504
    4   ->    12 U   0.00073426    29.52215782
    4   ->     9 U   0.00071213    18.69399496
    4   ->    12 D   0.00067640    29.68052689
    2   ->     8 U   0.00056717    20.58882754
    6   ->    10 D   0.00049104    17.68557999
    3   ->     8 D   0.00047889    17.96554179
    3   ->     9 U   0.00039614    20.06437024
    3   ->     7 D   0.00037948     6.27378942
    5   ->    10 D   0.00036805    21.73303494
    1   ->     9 U   0.00027964    28.93449456
    3   ->     8 U   0.00027949    17.56730274
    2   ->    10 U   0.00024195    26.85859336
    1   ->    12 D   0.00023397    40.07909109
    1   ->     8 D   0.00021053    26.67487202
    6   ->    12 D   0.00016631    25.14862116
    6   ->    10 U   0.00016512    18.35372880
    1   ->    12 U   0.00016505    39.76265742
    4   ->    11 U   0.00015645    24.18535217
    1   ->     8 U   0.00011338    26.43742705
    3   ->    10 D   0.00010763    23.90671968
    4   ->    10 U   0.00009677    22.46669327
    3   ->    10 U   0.00009665    23.83706856
    3   ->    11 U   0.00009243    25.55572746
    7   ->     9 U   0.00009041    13.75053782
    2   ->     9 D   0.00008847    22.98969180
    1   ->     9 D   0.00008037    29.05644728
    4   ->    11 D   0.00007314    23.80660049
    2   ->    10 D   0.00007150    26.54929444
    7   ->    12 U   0.00006406    24.57870068
    3   ->    12 U   0.00005710    30.89253310
    5   ->     9 U   0.00005627    18.21080369
    7   ->    10 U   0.00005068    17.52323614
    1   ->     7 D   0.00004104    14.98311966
    2   ->    12 D   0.00004095    34.01233561
    2   ->    11 D   0.00003802    28.13840922
    5   ->    11 D   0.00003266    23.32214971
    5   ->    12 D   0.00003247    29.19607611
    3   ->    11 D   0.00003186    25.49583446
    6   ->    11 D   0.00003088    19.27469476
    1   ->    10 U   0.00002698    32.70719287
    3   ->    12 D   0.00002548    31.36976085
    2   ->    11 U   0.00002327    28.57725226
