 
  Energy       1     5.8895165314E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->    10     0.00010063    28.75589637
    5   ->    11     0.00007717    23.67256912
    2   ->    11     0.00007418    29.03007757
    1   ->     9     0.00007301    32.46233894
    4   ->     8     0.00005345    18.79219436
    6   ->     7     0.00005068     5.82238605
    4   ->    11     0.00003323    25.31923848
    3   ->     7     0.00003035     9.74801100
    5   ->    10     0.00002103    23.39838792
    3   ->    10     0.00002081    26.03626089
    4   ->    10     0.00001765    25.04505728
    6   ->     9     0.00001199    19.21574713
    1   ->    11     0.00000556    35.63140896
    6   ->    12     0.00000505    34.39650917
    5   ->     9     0.00000395    20.50349911
    2   ->     8     0.00000144    22.50303345
    5   ->    12     0.00000094    35.68426115
    1   ->     8     0.00000091    29.10436483
    3   ->    12     0.00000077    38.32213412
    4   ->     7     0.00000033     8.75680739
    3   ->     9     0.00000010    23.14137208
    2   ->     7     0.00000010    12.46764648
    1   ->     7     0.00000000    19.06897786
 
  Energy       7     1.7205999138E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     8     0.99983763    17.14552500
    6   ->     8     0.01793030    15.85777302
    4   ->     9     0.00170858    22.15016847
    6   ->    11     0.00040318    22.38481714
    2   ->     9     0.00033193    25.86100756
    3   ->    11     0.00012152    26.31044209
    6   ->    10     0.00009980    22.11063594
    2   ->    10     0.00004433    28.75589637
    3   ->     8     0.00004404    19.78339797
    5   ->    11     0.00003789    23.67256912
    3   ->    10     0.00002860    26.03626089
    1   ->     9     0.00002516    32.46233894
    1   ->    10     0.00002497    35.35722775
    5   ->     7     0.00001844     7.11013803
    2   ->    11     0.00001831    29.03007757
    4   ->    10     0.00001700    25.04505728
    4   ->    12     0.00001623    37.33093051
    6   ->     9     0.00001497    19.21574713
    1   ->    12     0.00000989    47.64310099
    5   ->    10     0.00000895    23.39838792
    2   ->    12     0.00000640    41.04176961
    4   ->     8     0.00000633    18.79219436
    4   ->    11     0.00000251    25.31923848
    1   ->    11     0.00000203    35.63140896
    5   ->     9     0.00000153    20.50349911
    6   ->    12     0.00000087    34.39650917
    2   ->     8     0.00000051    22.50303345
    3   ->     7     0.00000048     9.74801100
    3   ->    12     0.00000028    38.32213412
    5   ->    12     0.00000013    35.68426115
    6   ->     7     0.00000003     5.82238605
    1   ->     8     0.00000001    29.10436483
    1   ->     7     0.00000001    19.06897786
    4   ->     7     0.00000001     8.75680739
