 
  Energy       1     6.6336272039E-01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    1   ->     8     0.00001133    29.44151408
    1   ->     9     0.00000828    29.76988583
    3   ->     9     0.00000796    20.46177555
    5   ->    10     0.00000732    20.93009636
    5   ->     9     0.00000696    19.96681718
    5   ->    12     0.00000668    25.77109867
    5   ->    11     0.00000651    22.32218340
    4   ->     9     0.00000580    20.30967589
    1   ->    12     0.00000320    35.57416732
    3   ->    11     0.00000174    22.81714178
    4   ->     7     0.00000164     5.15936166
    3   ->     7     0.00000088     5.31146133
    6   ->    12     0.00000054    21.56844749
    2   ->    12     0.00000046    30.35447884
    5   ->     7     0.00000014     4.81650295
    5   ->     8     0.00000013    19.63844543
    6   ->     7     0.00000000     0.61385176
 
  Energy       7     1.5563995929E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99995291    15.43579424
    6   ->    10     0.00700452    16.72744517
    6   ->     9     0.00502101    15.76416599
    5   ->     8     0.00423580    19.63844543
    4   ->     8     0.00070841    19.98130414
    4   ->     9     0.00057620    20.30967589
    5   ->    10     0.00038750    20.93009636
    2   ->     9     0.00037868    24.55019734
    4   ->    11     0.00037356    22.66504211
    6   ->    11     0.00034703    18.11953221
    2   ->    10     0.00034549    25.51347653
    4   ->    10     0.00031323    21.27295507
    5   ->     9     0.00029950    19.96681718
    3   ->     8     0.00029824    20.13340380
    3   ->    10     0.00025180    21.42505474
    1   ->     7     0.00017184    14.61957160
    1   ->    11     0.00012445    32.12525205
    3   ->     9     0.00011891    20.46177555
    4   ->    12     0.00009383    26.11395738
    5   ->    11     0.00009177    22.32218340
    6   ->    12     0.00008536    21.56844749
    1   ->    12     0.00006801    35.57416732
    1   ->     9     0.00006610    29.76988583
    1   ->    10     0.00006373    30.73316501
    3   ->    12     0.00006290    26.26605705
    2   ->     8     0.00004614    24.22182559
    3   ->     7     0.00004526     5.31146133
    2   ->    11     0.00001712    26.90556356
    1   ->     8     0.00001365    29.44151408
    2   ->     7     0.00001337     9.39988312
    3   ->    11     0.00000467    22.81714178
    2   ->    12     0.00000216    30.35447884
    5   ->    12     0.00000096    25.77109867
    5   ->     7     0.00000049     4.81650295
    4   ->     7     0.00000006     5.15936166
    6   ->     7     0.00000003     0.61385176
 
