 
  Energy       1     6.9108763393E-01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->    11     0.00003261    20.54862334
    6   ->     8     0.00003054    11.63692139
    5   ->     9     0.00003009    18.91871095
    2   ->     8     0.00002508    20.27333874
    1   ->     8     0.00002199    24.84836437
    5   ->    12     0.00002048    25.22273457
    3   ->    10     0.00002019    19.88988744
    3   ->     8     0.00001765    15.65434239
    2   ->    10     0.00001610    24.50888379
    2   ->     7     0.00001180     9.30068983
    1   ->     9     0.00001107    28.35703321
    2   ->     9     0.00001015    23.78200758
    6   ->    10     0.00000696    15.87246644
    5   ->    10     0.00000593    19.64558716
    5   ->     8     0.00000481    15.41004211
    4   ->    10     0.00000238    19.80345745
    1   ->    10     0.00000190    29.08390942
    1   ->    12     0.00000147    34.66105683
    4   ->     7     0.00000139     4.59526348
    5   ->     7     0.00000080     4.43739320
    3   ->     9     0.00000056    19.16301123
    3   ->     7     0.00000040     4.68169348
    6   ->    12     0.00000023    21.44961384
    2   ->    12     0.00000008    30.08603120
    6   ->     7     0.00000001     0.66427247
 
  Energy       8     1.5300780120E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     9     0.99734591    15.14559023
    5   ->     8     0.07217913    15.41004211
    6   ->    10     0.00746247    15.87246644
    3   ->     9     0.00416173    19.16301123
    3   ->     8     0.00260432    15.65434239
    5   ->     9     0.00210262    18.91871095
    4   ->     9     0.00186895    19.07658123
    2   ->     9     0.00117045    23.78200758
    3   ->    11     0.00094289    20.63505334
    6   ->    11     0.00076812    16.61763233
    5   ->    10     0.00070540    19.64558716
    4   ->    10     0.00029200    19.80345745
    1   ->     7     0.00023737    13.87571546
    4   ->    11     0.00018310    20.54862334
    4   ->     8     0.00013791    15.56791240
    5   ->    11     0.00012696    20.39075305
    4   ->    12     0.00011715    25.38060485
    1   ->     8     0.00011395    24.84836437
    1   ->     9     0.00005940    28.35703321
    3   ->    10     0.00005746    19.88988744
    2   ->     8     0.00005407    20.27333874
    1   ->    11     0.00004706    29.82907532
    2   ->    10     0.00003361    24.50888379
    6   ->    12     0.00001807    21.44961384
    2   ->    12     0.00001338    30.08603120
    2   ->    11     0.00000751    25.25404968
    4   ->     7     0.00000716     4.59526348
    5   ->    12     0.00000526    25.22273457
    3   ->    12     0.00000466    25.46703485
    6   ->     8     0.00000435    11.63692139
    1   ->    10     0.00000132    29.08390942
    3   ->     7     0.00000082     4.68169348
    1   ->    12     0.00000031    34.66105683
    5   ->     7     0.00000004     4.43739320
    2   ->     7     0.00000002     9.30068983
    6   ->     7     0.00000001     0.66427247
 
