 
  Energy       1     6.0660129388E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     9     0.00009297    19.95331483
    5   ->     8     0.00009211    16.84186011
    2   ->    11     0.00008134    28.98042681
    2   ->     7     0.00006885    12.62069740
    3   ->     9     0.00005412    22.63357460
    3   ->    10     0.00004429    26.30053485
    4   ->    11     0.00002125    25.30112729
    4   ->     7     0.00001663     8.94139788
    4   ->    10     0.00001502    25.23091287
    5   ->    12     0.00001155    38.32788377
    1   ->     8     0.00000800    28.87274233
    1   ->     7     0.00000496    19.36164232
    5   ->    11     0.00000302    23.69048950
    3   ->    12     0.00000234    41.00814354
    1   ->    11     0.00000222    35.72137173
    6   ->    12     0.00000161    37.06006527
    5   ->    10     0.00000079    23.62027508
    3   ->     7     0.00000002    10.01101986
    6   ->     7     0.00000001     6.06294159
 
  Energy       7     1.6845032110E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     8     0.99999995    16.84186011
    6   ->     9     0.00031109    18.68549633
    6   ->     8     0.00006550    15.57404160
    2   ->     8     0.00004340    22.13179741
    4   ->     8     0.00003027    18.45249789
    6   ->    10     0.00001324    22.35245658
    3   ->    10     0.00000948    26.30053485
    4   ->     9     0.00000930    21.56395262
    4   ->    11     0.00000909    25.30112729
    3   ->     9     0.00000868    22.63357460
    3   ->    11     0.00000359    26.37074927
    3   ->     8     0.00000187    19.52211987
    1   ->    11     0.00000165    35.72137173
    1   ->     8     0.00000107    28.87274233
    6   ->    11     0.00000082    22.42267099
    4   ->    10     0.00000067    25.23091287
    2   ->     9     0.00000051    25.24325214
    1   ->     9     0.00000033    31.98419706
    2   ->    11     0.00000022    28.98042681
    2   ->    10     0.00000019    28.91021239
    5   ->     7     0.00000018     7.33076010
    5   ->     9     0.00000018    19.95331483
    4   ->    12     0.00000016    39.93852156
    1   ->    10     0.00000015    35.65115731
    1   ->    12     0.00000007    50.35876600
    3   ->    12     0.00000006    41.00814354
    3   ->     7     0.00000004    10.01101986
    6   ->    12     0.00000003    37.06006527
    2   ->    12     0.00000003    43.61782108
    2   ->     7     0.00000003    12.62069740
    6   ->     7     0.00000002     6.06294159
    5   ->    10     0.00000002    23.62027508
    1   ->     7     0.00000001    19.36164232
    4   ->     7     0.00000000     8.94139788
    5   ->    12     0.00000000    38.32788377
    5   ->    11     0.00000000    23.69048950
 
  Energy       8     1.8562495505E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     8     0.95605092    18.45249789
    6   ->     9     0.29319531    18.68549633
    6   ->    10     0.00098252    22.35245658
    3   ->    10     0.00097614    26.30053485
    2   ->     8     0.00093500    22.13179741
    6   ->    11     0.00033051    22.42267099
    6   ->     8     0.00031746    15.57404160
    1   ->     8     0.00023672    28.87274233
    2   ->    11     0.00018800    28.98042681
    4   ->     9     0.00013807    21.56395262
    3   ->    11     0.00012195    26.37074927
    2   ->     9     0.00009830    25.24325214
    1   ->    11     0.00004341    35.72137173
    4   ->    11     0.00003542    25.30112729
    2   ->    10     0.00002289    28.91021239
    5   ->     9     0.00002199    19.95331483
    3   ->     8     0.00002027    19.52211987
    1   ->    10     0.00001353    35.65115731
    5   ->     8     0.00001246    16.84186011
    3   ->     9     0.00000821    22.63357460
    5   ->    11     0.00000603    23.69048950
    3   ->    12     0.00000452    41.00814354
    4   ->    12     0.00000435    39.93852156
    5   ->     7     0.00000433     7.33076010
    2   ->    12     0.00000318    43.61782108
    1   ->    12     0.00000236    50.35876600
    3   ->     7     0.00000228    10.01101986
